countypct,Don Blankenship,Donald J. Trump,Gloria La Riva,Howie Hawkins,Jo Jorgensen,Joseph R. Biden,OVER VOTES,"Roque ""Rocky"" De La Fuente",UNDER VOTES,WRITE-IN
ORA101,3,1244,2,6,19,2169,8,1,4,9
ORA102,0,887,2,2,17,1382,2,2,7,7
ORA103,1,1004,0,1,21,1203,2,1,16,8
ORA104,0,1332,5,8,21,1994,7,2,10,10
ORA105,0,555,2,0,13,1328,17,1,7,9
ORA106,4,1803,3,8,31,1831,11,0,15,8
ORA107,3,1695,0,2,29,1086,6,1,9,13
ORA108,0,1482,5,7,19,1629,12,5,6,10
ORA109,2,2161,2,2,46,2887,17,3,22,15
ORA110,1,1633,0,4,21,1705,7,2,21,2
ORA111,2,1554,1,6,23,1138,1,2,16,10
ORA112,0,1223,1,9,15,1132,2,0,6,8
ORA113,0,1580,1,2,22,1764,5,3,11,11
ORA114,1,791,2,6,22,1484,5,1,6,3
ORA115,0,1562,0,4,20,1711,5,2,9,6
ORA116,1,1328,2,6,19,1770,4,0,10,7
ORA117,2,941,0,5,25,1663,7,0,10,11
ORA118,1,1093,4,2,15,1468,0,2,2,5
ORA119,1,1184,2,2,20,1879,8,2,7,10
ORA120,0,1060,1,2,13,1384,1,2,4,9
ORA121,0,958,1,4,10,1559,3,0,8,3
ORA122,0,709,0,6,11,1309,1,1,2,7
ORA123,0,1101,0,4,8,1584,5,1,4,6
ORA124,0,1250,4,15,52,3307,11,3,5,16
ORA125,3,1462,0,5,11,1656,3,1,11,2
ORA126,1,1699,2,8,28,1829,5,3,3,8
ORA127,1,973,1,2,14,918,1,0,7,3
ORA128,0,1659,3,1,13,1422,2,0,15,8
ORA129,1,1766,0,4,17,923,0,0,17,4
ORA130,0,2482,1,2,23,1848,8,0,17,9
ORA131,2,1892,0,13,28,2241,7,2,8,17
ORA132,0,2358,1,8,48,2257,9,0,15,17
ORA133,2,2047,0,4,32,2366,2,2,14,7
ORA134,0,1856,0,1,23,1965,2,6,9,9
ORA135,0,1896,2,5,28,2125,6,2,8,19
ORA136,2,1062,1,4,14,930,2,0,7,8
ORA137,0,669,2,5,7,1281,5,1,5,3
ORA138,0,1672,3,3,16,1495,2,0,7,5
ORA139,2,2621,3,5,53,3436,15,5,14,10
ORA140,4,2568,1,7,58,3623,6,4,10,8
ORA141,4,2150,2,6,44,3257,3,3,9,13
ORA201,0,721,0,3,5,575,0,2,7,2
ORA202,2,802,0,3,10,824,6,1,1,8
ORA203,0,282,0,4,7,1128,13,0,11,4
ORA204,1,116,0,4,1,1042,7,1,3,2
ORA205,0,135,0,0,4,183,0,0,1,0
ORA206,0,758,4,5,22,1331,6,1,8,11
ORA207,2,1017,7,13,22,1565,9,3,11,8
ORA208,0,1381,2,7,26,1826,7,4,7,7
ORA209,0,921,1,2,16,1376,6,2,3,7
ORA210,1,444,0,1,9,1139,6,2,2,5
ORA211,0,307,4,2,6,1325,10,0,4,2
ORA212,0,332,3,0,4,1164,8,0,2,5
ORA213,1,447,3,6,11,2663,21,2,12,9
ORA214,3,702,4,8,21,2584,18,1,8,16
ORA215,0,411,3,6,12,2482,32,0,12,4
ORA216,1,343,1,0,5,1427,11,0,9,3
ORA217,0,523,2,7,8,2737,21,0,5,8
ORA218,0,1141,4,5,31,1737,2,0,8,2
ORA219,0,1029,1,10,22,1945,8,4,9,4
ORA220,4,1696,1,1,30,1559,7,2,11,6
ORA221,0,1348,1,5,21,1266,13,1,7,7
ORA222,1,1325,3,6,22,2500,12,0,17,11
ORA223,0,1425,4,13,24,3266,10,1,13,12
ORA224,0,774,0,3,16,674,3,0,3,4
ORA225,0,544,1,6,10,2360,9,1,1,7
ORA226,0,399,0,1,9,1104,7,2,8,4
ORA227,5,1167,2,6,15,2062,8,3,6,14
ORA228,0,989,1,1,7,1164,7,2,6,5
ORA229,1,1474,3,4,28,1481,10,2,6,6
ORA230,1,413,3,1,7,391,5,0,3,3
ORA231,0,622,1,4,14,981,6,1,4,5
ORA232,2,1936,1,4,19,2041,5,3,7,7
ORA233,3,1049,2,6,14,1578,12,1,11,5
ORA234,0,1926,0,5,18,1343,6,1,9,19
ORA235,1,1845,1,3,20,1325,1,1,5,5
ORA236,1,977,2,3,10,495,0,3,2,7
ORA237,1,1574,3,5,16,1315,1,0,6,10
ORA238,0,2232,1,4,28,1630,4,1,6,14
ORA239,1,2005,1,1,26,1473,5,0,9,13
ORA240,1,1478,0,6,35,2690,14,3,13,9
ORA301,0,581,3,1,15,1335,9,1,2,7
ORA302,1,1013,2,4,22,1577,1,0,7,11
ORA303,1,987,2,5,32,1936,0,2,8,12
ORA304,2,1174,6,8,20,1867,1,1,6,11
ORA305,1,1083,2,7,27,1498,20,1,11,11
ORA306,0,972,3,8,15,1630,16,0,6,11
ORA307,0,1150,4,14,32,2372,11,4,7,15
ORA308,1,622,2,8,14,880,9,1,4,6
ORA309,1,804,2,3,17,1250,9,1,7,9
ORA310,0,228,2,2,6,485,2,1,2,1
ORA311,1,1150,2,4,26,1157,9,0,7,8
ORA312,0,1414,1,20,27,1753,10,4,6,10
ORA313,1,669,2,4,14,1035,8,2,5,5
ORA314,5,1168,6,7,22,2067,20,2,10,17
ORA315,0,653,2,2,10,1299,8,5,8,3
ORA316,2,998,1,10,16,2219,26,2,9,8
ORA317,2,1084,2,5,15,1800,28,2,3,9
ORA318,1,882,2,2,9,1434,23,3,4,3
ORA319,2,760,1,1,11,1324,11,1,5,10
ORA320,3,944,1,1,7,1164,20,0,4,3
ORA321,1,1080,2,3,15,2216,19,2,6,11
ORA322,1,1104,2,4,6,1876,18,6,11,6
ORA323,1,935,2,4,14,1217,5,1,5,5
ORA324,0,1012,0,5,17,1401,9,2,12,2
ORA325,2,1173,3,9,33,1879,12,0,8,5
ORA326,0,1566,0,5,41,1808,4,1,15,8
ORA327,1,965,1,6,27,1526,5,2,12,7
ORA328,1,734,1,3,12,1026,10,1,10,3
ORA329,1,626,6,2,9,1149,14,3,2,3
ORA330,1,1115,0,3,19,898,4,0,12,4
ORA331,0,985,3,3,5,1367,18,3,10,6
ORA332,0,526,1,3,8,1025,12,0,5,5
ORA333,0,1345,1,9,23,788,4,0,4,3
ORA334,1,1684,1,5,18,1159,4,0,8,17
ORA335,1,1200,0,1,23,849,1,0,10,10
ORA336,1,1191,2,13,21,1992,7,3,11,8
ORA337,1,1546,0,6,37,1358,6,0,3,12
ORA338,0,1136,0,1,20,1105,12,1,6,5
ORA339,1,558,1,2,8,817,11,3,4,6
ORA340,3,650,1,5,14,1407,10,7,3,5
ORA341,2,910,4,1,35,1557,12,3,4,6
ORA342,0,228,0,3,5,395,5,0,3,0
ORA401,0,1243,1,5,25,1652,7,1,15,5
ORA402,1,1121,1,8,40,2690,16,3,3,10
ORA403,0,1129,0,5,16,1917,10,0,10,10
ORA404,0,919,3,8,29,1509,5,3,4,3
ORA405,0,90,0,1,0,14,0,0,2,0
ORA406,0,937,0,2,17,1574,5,1,10,11
ORA407,0,777,3,3,21,1005,8,2,9,6
ORA408,2,1364,2,5,24,1571,7,1,15,17
ORA409,2,1437,2,8,31,1977,2,3,14,19
ORA410,0,1314,1,5,22,2028,10,1,10,11
ORA411,0,1193,1,3,22,1529,4,1,6,10
ORA412,2,804,3,4,14,1355,3,2,4,9
ORA413,0,1179,3,6,22,1797,4,1,7,12
ORA414,1,1508,3,6,30,2029,6,6,9,15
ORA415,0,722,0,3,14,1056,1,0,4,4
ORA416,0,19,0,0,0,8,0,0,0,0
ORA417,2,900,2,8,17,1854,12,2,9,6
ORA418,0,826,2,5,14,1129,5,3,10,4
ORA419,1,996,10,9,11,1316,17,1,3,8
ORA420,1,1516,1,5,27,2867,10,3,12,11
ORA421,0,736,6,4,21,1416,6,1,9,6
ORA422,1,1009,3,13,22,1906,15,3,3,10
ORA423,0,843,2,4,20,1686,13,2,12,8
ORA424,1,864,1,6,6,1843,10,2,2,4
ORA425,0,1026,3,6,16,1980,6,1,12,5
ORA426,0,1809,8,6,31,3664,26,7,8,8
ORA427,1,1274,2,8,20,2770,10,4,11,1
ORA428,0,717,0,2,8,1551,13,0,5,2
ORA429,2,974,3,4,17,2339,19,4,9,7
ORA430,2,3206,4,8,54,4284,14,2,23,33
ORA431,2,2011,0,3,27,2340,8,4,6,12
ORA432,4,1326,3,5,20,1614,1,3,8,19
ORA433,1,2289,0,6,47,2649,8,4,23,18
ORA434,0,20,0,0,0,5,0,0,0,0
ORA435,0,766,2,9,28,2161,3,3,7,8
ORA436,3,751,1,4,17,1367,7,1,4,7
ORA437,1,1083,2,4,26,1979,5,2,5,9
ORA438,4,1174,2,10,32,2355,26,2,10,12
ORA439,1,963,1,5,14,1637,8,1,4,7
ORA440,2,1894,3,5,47,2758,1,3,18,17
ORA441,0,582,0,2,8,1137,4,1,1,5
ORA501,0,1096,2,5,23,2253,10,1,16,14
ORA502,3,1011,2,13,40,2802,9,4,11,14
ORA503,0,503,1,4,31,1456,0,1,8,1
ORA504,0,680,0,2,18,952,1,1,8,5
ORA505,0,649,2,2,22,1380,2,1,6,1
ORA506,0,439,2,6,25,1393,0,0,4,8
ORA507,0,934,0,3,19,1076,0,1,11,5
ORA508,0,1192,4,3,35,1939,2,1,8,8
ORA509,1,945,0,3,21,1306,0,2,8,11
ORA510,0,951,3,9,18,1264,3,1,5,8
ORA511,1,917,3,2,22,1228,3,0,6,4
ORA512,1,736,4,5,15,1731,13,1,6,9
ORA513,1,808,2,1,17,903,2,0,5,4
ORA514,1,1299,2,5,35,1840,3,2,10,20
ORA515,0,1861,1,2,36,1958,1,1,21,13
ORA516,0,711,0,0,13,717,2,0,7,4
ORA517,0,1590,2,2,18,1609,6,0,10,12
ORA518,1,693,0,3,12,600,1,0,8,2
ORA519,0,795,1,0,15,1144,2,2,10,6
ORA520,0,864,0,6,13,1316,7,3,6,11
ORA521,2,979,4,7,26,1377,2,0,12,14
ORA522,0,1220,0,2,16,1228,3,2,16,13
ORA523,1,536,1,0,8,648,0,1,6,6
ORA524,1,991,0,6,36,2161,8,1,6,11
ORA525,1,2105,2,4,39,3240,2,2,18,18
ORA526,0,747,2,6,27,1451,8,1,5,6
ORA527,1,823,2,5,21,1146,3,1,4,6
ORA528,0,740,1,8,29,1663,5,1,4,7
ORA529,0,660,3,2,24,1095,3,2,9,10
ORA530,1,707,5,2,21,1384,4,3,7,8
ORA531,2,1123,0,3,24,1136,5,1,7,8
ORA532,1,897,4,7,17,1633,15,2,6,8
ORA533,3,1183,2,5,21,1565,10,0,9,6
ORA534,1,665,2,2,18,1093,6,3,7,8
ORA535,0,1281,6,8,36,2168,10,3,9,12
ORA536,0,1087,1,8,40,1654,2,3,6,10
ORA537,0,436,2,13,21,1224,3,2,4,6
ORA538,0,196,2,3,7,596,0,0,4,3
ORA539,1,1038,1,11,28,2432,10,4,6,13
ORA540,1,1368,1,8,13,1310,14,3,6,7
ORA541,2,764,3,5,25,1365,2,0,2,5
ORA542,0,1573,1,3,29,2062,5,6,10,5
ORA543,2,1469,2,4,16,880,7,1,9,4
ORA544,1,2742,2,8,38,2214,12,1,14,8
ORA545,0,1014,1,0,8,293,3,0,5,2
ORA546,0,722,0,4,27,1654,3,0,9,7
ORA547,0,204,0,2,8,525,0,0,0,2
ORA548,1,829,1,1,24,1003,6,3,9,7
ORA549,1,849,3,5,33,2107,0,2,3,12
ORA601,0,215,2,5,14,1394,23,1,4,5
ORA602,1,184,1,0,8,1750,20,1,3,4
ORA603,2,133,1,1,2,1192,13,2,5,2
ORA604,3,276,4,4,3,1971,22,1,12,2
ORA605,0,262,0,4,7,1515,18,2,9,4
ORA606,1,288,2,1,4,1476,18,1,8,3
ORA607,1,278,0,2,5,1568,17,0,5,2
ORA608,0,301,3,3,1,1543,26,2,9,3
ORA609,1,397,2,4,11,2841,27,1,7,6
ORA610,1,521,1,5,10,1559,9,5,0,5
ORA611,2,487,3,5,6,1256,18,2,1,1
ORA612,1,381,2,11,23,1926,4,0,6,6
ORA613,3,486,0,6,12,1671,7,3,5,14
ORA614,1,1120,3,16,33,2899,9,3,6,10
ORA615,0,646,3,6,22,1547,4,0,7,3
ORA616,1,383,1,2,17,1643,6,1,10,7
ORA617,1,278,1,4,5,1617,14,0,5,7
ORA618,1,353,1,1,2,737,9,1,1,3
ORA619,0,481,0,4,11,1650,14,0,7,1
ORA620,0,324,0,1,8,672,14,1,2,3
ORA621,1,541,4,3,11,1640,23,3,8,7
ORA622,0,467,1,3,11,1909,14,1,5,3
ORA623,1,411,3,9,7,2163,12,1,5,8
ORA624,2,109,4,1,0,1727,23,1,14,6
ORA625,4,201,4,4,2,1819,18,2,5,4
ORA626,1,87,2,3,3,1900,16,1,3,8
ORA627,1,111,1,0,5,1512,16,2,10,4
ORA628,0,203,0,2,8,692,10,0,3,2
ORA629,0,248,3,2,3,1771,27,1,2,11
ORA630,1,378,0,4,12,1219,14,0,4,2
ORA631,0,0,0,0,0,0,0,0,0,0
ORA632,1,638,4,2,18,2329,26,2,8,5
ORA633,0,355,7,7,19,2195,11,1,5,4
ORA634,2,272,1,5,7,1476,19,1,8,5
